Product Name,Description of the product,Price range of the product
Samsung 970 EVO Plus M.2 MZ-V7S1T0BW,"Ємність:960 ГБФормат:PCI-E (HHHL)NAND:3D TLC NANDЗапис:3000 МБ/с, IOPS 75 тисЧитання:3400 МБ/с, IOPS 750 тис",Not took
Product Name,Description of the product,Price range of the product
Samsung 970 EVO Plus M.2 MZ-V7S1T0BW,"Ємність:960 ГБФормат:PCI-E (HHHL)NAND:3D TLC NANDЗапис:3000 МБ/с, IOPS 75 тисЧитання:3400 МБ/с, IOPS 750 тис",Not took
Kingston KC3000 SKC3000S/1024G,"Ємність:250 ГБФормат:M.2, 22x80, PCI-E 3.0 4xNAND:3D QLC NANDЗапис:1100 МБ/сЧитання:2100 МБ/с",2 734 грн.
Product Name,Description of the product,Price range of the product
Samsung 970 EVO Plus M.2 MZ-V7S1T0BW,"Ємність:960 ГБФормат:PCI-E (HHHL)NAND:3D TLC NANDЗапис:3000 МБ/с, IOPS 75 тисЧитання:3400 МБ/с, IOPS 750 тис",Not took
Kingston KC3000 SKC3000S/1024G,"Ємність:250 ГБФормат:M.2, 22x80, PCI-E 3.0 4xNAND:3D QLC NANDЗапис:1100 МБ/сЧитання:2100 МБ/с",2 734 грн.
Samsung 980 NVMe M.2 MZ-V8V1T0BW,"Ємність:256 ГБФормат:M.2, PCI-E 4.0 4xNAND:3D TLC NANDЗапис:2700 МБ/с, IOPS 600 тисЧитання:6400 МБ/с, IOPS 500 тис",2 416 до 2 520 грн.
Product Name,Description of the product,Price range of the product
Samsung 970 EVO Plus M.2 MZ-V7S1T0BW,"Ємність:960 ГБФормат:PCI-E (HHHL)NAND:3D TLC NANDЗапис:3000 МБ/с, IOPS 75 тисЧитання:3400 МБ/с, IOPS 750 тис",Not took
Kingston KC3000 SKC3000S/1024G,"Ємність:250 ГБФормат:M.2, 22x80, PCI-E 3.0 4xNAND:3D QLC NANDЗапис:1100 МБ/сЧитання:2100 МБ/с",2 734 грн.
Samsung 980 NVMe M.2 MZ-V8V1T0BW,"Ємність:256 ГБФормат:M.2, PCI-E 4.0 4xNAND:3D TLC NANDЗапис:2700 МБ/с, IOPS 600 тисЧитання:6400 МБ/с, IOPS 500 тис",2 416 до 2 520 грн.
Kingston NV2 SNV2S/1000G,"Ємність:480 ГБФормат:2.5""",10 694 грн.
Product Name,Description of the product,Price range of the product
Samsung 970 EVO Plus M.2 MZ-V7S1T0BW,"Ємність:960 ГБФормат:PCI-E (HHHL)NAND:3D TLC NANDЗапис:3000 МБ/с, IOPS 75 тисЧитання:3400 МБ/с, IOPS 750 тис",Not took
Kingston KC3000 SKC3000S/1024G,"Ємність:250 ГБФормат:M.2, 22x80, PCI-E 3.0 4xNAND:3D QLC NANDЗапис:1100 МБ/сЧитання:2100 МБ/с",2 734 грн.
Samsung 980 NVMe M.2 MZ-V8V1T0BW,"Ємність:256 ГБФормат:M.2, PCI-E 4.0 4xNAND:3D TLC NANDЗапис:2700 МБ/с, IOPS 600 тисЧитання:6400 МБ/с, IOPS 500 тис",2 416 до 2 520 грн.
Kingston NV2 SNV2S/1000G,"Ємність:480 ГБФормат:2.5""",10 694 грн.
Samsung MZ-77E1T0BW MZ-77E1T0BW,"Ємність:1600 / 3200 ГБФормат:PCI-E (HHHL)NAND:3D TLC NANDЗапис:2400 / 3800 МБ/с, IOPS 200 / 250 тисЧитання:7000 / 8000 МБ/с, IOPS 1000 / 1500 тис",18 923 грн.
Product Name,Description of the product,Price range of the product
Samsung 970 EVO Plus M.2 MZ-V7S1T0BW,"Ємність:960 ГБФормат:PCI-E (HHHL)NAND:3D TLC NANDЗапис:3000 МБ/с, IOPS 75 тисЧитання:3400 МБ/с, IOPS 750 тис",Not took
Kingston KC3000 SKC3000S/1024G,"Ємність:250 ГБФормат:M.2, 22x80, PCI-E 3.0 4xNAND:3D QLC NANDЗапис:1100 МБ/сЧитання:2100 МБ/с",2 734 грн.
Samsung 980 NVMe M.2 MZ-V8V1T0BW,"Ємність:256 ГБФормат:M.2, PCI-E 4.0 4xNAND:3D TLC NANDЗапис:2700 МБ/с, IOPS 600 тисЧитання:6400 МБ/с, IOPS 500 тис",2 416 до 2 520 грн.
Kingston NV2 SNV2S/1000G,"Ємність:480 ГБФормат:2.5""",10 694 грн.
Samsung MZ-77E1T0BW MZ-77E1T0BW,"Ємність:1600 / 3200 ГБФормат:PCI-E (HHHL)NAND:3D TLC NANDЗапис:2400 / 3800 МБ/с, IOPS 200 / 250 тисЧитання:7000 / 8000 МБ/с, IOPS 1000 / 1500 тис",18 923 грн.
Samsung 980 PRO MZ-V8P1T0BW,"Ємність:1920 ГБФормат:M.2, PCI-E 3.0 4xNAND:3D TLC NANDЗапис:1430 МБ/с, IOPS 42 тисЧитання:3000 МБ/с, IOPS 480 тис",Not took
Product Name,Description of the product,Price range of the product
Samsung 970 EVO Plus M.2 MZ-V7S1T0BW,"Ємність:960 ГБФормат:PCI-E (HHHL)NAND:3D TLC NANDЗапис:3000 МБ/с, IOPS 75 тисЧитання:3400 МБ/с, IOPS 750 тис",Not took
Kingston KC3000 SKC3000S/1024G,"Ємність:250 ГБФормат:M.2, 22x80, PCI-E 3.0 4xNAND:3D QLC NANDЗапис:1100 МБ/сЧитання:2100 МБ/с",2 734 грн.
Samsung 980 NVMe M.2 MZ-V8V1T0BW,"Ємність:256 ГБФормат:M.2, PCI-E 4.0 4xNAND:3D TLC NANDЗапис:2700 МБ/с, IOPS 600 тисЧитання:6400 МБ/с, IOPS 500 тис",2 416 до 2 520 грн.
Kingston NV2 SNV2S/1000G,"Ємність:480 ГБФормат:2.5""",10 694 грн.
Samsung MZ-77E1T0BW MZ-77E1T0BW,"Ємність:1600 / 3200 ГБФормат:PCI-E (HHHL)NAND:3D TLC NANDЗапис:2400 / 3800 МБ/с, IOPS 200 / 250 тисЧитання:7000 / 8000 МБ/с, IOPS 1000 / 1500 тис",18 923 грн.
Samsung 980 PRO MZ-V8P1T0BW,"Ємність:1920 ГБФормат:M.2, PCI-E 3.0 4xNAND:3D TLC NANDЗапис:1430 МБ/с, IOPS 42 тисЧитання:3000 МБ/с, IOPS 480 тис",Not took
